,precision,recall,f1-score,support
0,0.9968489926044003,0.8192120802847438,0.8993428130277981,196949.0
1,0.1131583292058775,0.5447464632013989,0.18739063867016623,6291.0
2,0.07808184785337685,0.27316644707949056,0.12144879429854535,2277.0
3,0.16343081838289505,0.2714285714285714,0.2040190213222887,2450.0
4,0.23240707325875135,0.7368421052631579,0.353360768175583,1748.0
accuracy,0.7979639033926996,0.7979639033926996,0.7979639033926996,0.7979639033926996
macro avg,0.31678541226106016,0.5290791334514725,0.3531124070988763,209715.0
weighted avg,0.9442564276762976,0.7979639033926996,0.8568657574351578,209715.0
